Year,Type,Country,Sex,Age,Fatal,month,specie,size
2016,Unprovoked,Fiji,M,mediana edad,Y,Mar,,
2016,Unprovoked,USA,M,adolescente,N,Mar,,
2016,Unprovoked,AUSTRALIA,M,,N,Mar,bronze_whaler,
2016,Unprovoked,BRAZIL,M,mediana edad,N,Mar,sandtiger,
2016,Unprovoked,NEW CALEDONIA,M,joven,N,Feb,,
2016,Unprovoked,NEW CALEDONIA,M,adulto,N,Feb,,
2016,Unprovoked,DOMINICAN REPUBLIC,F,,N,Feb,,
2016,Unprovoked,CAYMAN ISLANDS,M,tercera edad,N,Feb,,
2016,Unprovoked,AUSTRALIA,M,,N,Feb,,grande
2016,Unprovoked,AUSTRALIA,F,mediana edad,N,Feb,,
2016,Unprovoked,AUSTRALIA,M,mediana edad,N,Feb,,
2016,Boating,SOUTH AFRICA,M,,N,Jan,,
2016,Unprovoked,USA,M,,N,Jan,reef,chico
2016,Unprovoked,USA,F,adolescente,N,Jan,,
2016,Unprovoked,USA,M,,N,Jan,,
2016,Boating,UNITED ARAB EMIRATES,M,,N,Jan,mako,
2016,Unprovoked,USA,M,mediana edad,N,Jan,tiger,grande
2016,Unprovoked,AUSTRALIA,M,niño,N,Jan,blacktip,
2016,Unprovoked,AUSTRALIA,M,adulto,N,Jan,,grande
2015,Boating,SOUTH AFRICA,M,,N,Dec,white,grande
2015,Unprovoked,SPAIN,F,adulto,N,Dec,,mediano
2015,Unprovoked,USA,M,tercera edad,N,Dec,,mediano
2015,Unprovoked,AUSTRALIA,M,mediana edad,N,Dec,bronze_whaler,mediano
2015,Unprovoked,BRAZIL,M,adulto,N,Dec,tiger,chico
2015,Unprovoked,ARUBA,M,mediana edad,Y,Dec,,
2015,Boating,AUSTRALIA,,,N,Dec,white,grande
2015,Unprovoked,BAHAMAS,M,adulto,N,Dec,bull,
2015,Unprovoked,SOUTH AFRICA,F,joven,N,Dec,,
2015,Unprovoked,ECUADOR,M,mediana edad,N,Nov,,
2015,Unprovoked,USA,M,,N,Nov,,
2015,Unprovoked,USA,F,,N,Nov,,
2015,Unprovoked,USA,M,adulto,N,Nov,spinner,mediano
2015,Unprovoked,AUSTRALIA,M,joven,N,Nov,bull,grande
2015,Invalid,USA,F,niño,N,Dec,,
2015,Unprovoked,USA,M,mediana edad,N,Nov,,
2015,Unprovoked,USA,F,adulto,N,Nov,,chico
2015,Unprovoked,MOZAMBIQUE,M,joven,,Nov,,
2015,Unprovoked,AUSTRALIA,M,mediana edad,N,Oct,,
2015,Unprovoked,USA,M,niño,N,Oct,,
2015,Unprovoked,SOUTH AFRICA,M,mediana edad,N,Oct,white,grande
2015,Unprovoked,USA,M,joven,N,Oct,,chico
2015,Unprovoked,USA,M,joven,N,Oct,spinner,chico
2015,Unprovoked,MOZAMBIQUE,F,adulto,Y,Oct,,
2015,Invalid,USA,M,adulto,N,Oct,,
2015,Unprovoked,USA,M,mediana edad,N,Oct,tiger,mediano
2015,Boating,USA,M,,N,Oct,,
2015,Unprovoked,USA,F,niño,N,Oct,,
2015,Unprovoked,USA,M,adulto,N,Oct,tiger,grande
2015,Unprovoked,MOZAMBIQUE,M,,N,Oct,,
2015,Unprovoked,AUSTRALIA,M,joven,N,Oct,,
2015,Unprovoked,USA,M,joven,N,Oct,,
2015,Unprovoked,USA,M,adolescente,N,Oct,,chico
2015,Unprovoked,USA,M,adolescente,N,Oct,blacktip,chico
2015,Unprovoked,USA,M,joven,N,Sep,blacktip,chico
2015,Unprovoked,AUSTRALIA,F,niño,N,Sep,,
2015,Unprovoked,USA,M,,N,Sep,white,grande
2015,Unprovoked,USA,M,adolescente,N,Sep,,
2015,Unprovoked,USA,M,adulto,N,Sep,tiger,grande
2015,Unprovoked,USA,M,adolescente,N,Sep,,chico
2015,Unprovoked,USA,M,adolescente,N,Sep,,
2015,Unprovoked,USA,M,,N,Sep,,
2015,Unprovoked,USA,M,joven,N,Sep,,
2015,Unprovoked,AUSTRALIA,M,mediana edad,N,Sep,,mediano
2015,Unprovoked,USA,F,mediana edad,N,Sep,white,grande
2015,Provoked,USA,M,adulto,N,Sep,hammerhead,
2015,Unprovoked,AUSTRALIA,M,mediana edad,N,Sep,white,mediano
2015,Unprovoked,USA,M,,N,Sep,,chico
2015,Unprovoked,THAILAND,F,adulto,N,Sep,,
2015,Unprovoked,FIJI,M,,N,Sep,tiger,
2015,Unprovoked,USA,F,mediana edad,N,Aug,white,grande
2015,Unprovoked,USA,M,joven,N,Aug,white,grande
2015,Invalid,USA,M,,N,Aug,,
2015,Unprovoked,AUSTRALIA,M,adulto,N,Aug,,
2015,Unprovoked,USA,M,adolescente,N,Aug,,chico
2015,Unprovoked,USA,F,niño,N,Aug,,chico
2015,Unprovoked,USA,M,joven,N,Aug,white,grande
2015,Invalid,SPAIN,M,niño,N,Aug,,
2015,Provoked,USA,M,mediana edad,N,Aug,hammerhead,mediano
2015,Unprovoked,AUSTRALIA,M,mediana edad,N,Jul,white,
2015,Unprovoked,USA,M,adulto,N,Jul,,chico
2015,Invalid,USA,F,adulto,N,Jul,,chico
2015,Unprovoked,AUSTRALIA,M,mediana edad,Y,Jul,white,
2015,Provoked,USA,M,adulto,N,Jul,,
2015,Unprovoked,AUSTRALIA,M,,N,Jul,bronze_whaler,chico
2015,Unprovoked,REUNION,M,mediana edad,N,Jul,bull,mediano
